date,data
2025-01-01,1309
2025-01-02,1468
2025-01-03,1419
2025-01-04,1680
2025-01-05,1734
2025-01-06,2048
2025-01-07,2141
2025-01-08,2379
2025-01-09,3128
2025-01-10,2339
2025-01-11,2856
2025-01-12,2925
2025-01-13,3714
2025-01-14,3102
2025-01-15,4035
2025-01-16,4663
2025-01-17,4629
2025-01-18,5335
2025-01-19,4979
2025-01-20,5352
2025-01-21,6393
2025-01-22,6512
2025-01-23,11201
2025-01-24,9788
2025-01-25,10145
2025-01-26,10071
2025-01-27,12379
2025-01-28,11793
2025-01-29,11059
2025-01-30,15439
2025-01-31,16416
2025-02-01,17267
2025-02-02,19368
2025-02-03,17320
2025-02-04,19387
2025-02-05,25261
2025-02-06,27138
2025-02-07,30051
2025-02-08,29070
2025-02-09,32000
2025-02-10,37713
2025-02-11,32140
2025-02-12,39827
2025-02-13,47518
2025-02-14,47422
2025-02-15,48444
2025-02-16,62536
2025-02-17,63375
2025-02-18,59138
2025-02-19,64194
2025-02-20,67175
2025-02-21,66377
2025-02-22,84543
2025-02-23,83634
2025-02-24,83104
2025-02-25,76674
2025-02-26,102285
2025-02-27,91412
2025-02-28,83003
2025-03-01,100460
2025-03-02,104062
2025-03-03,116720
2025-03-04,114515
2025-03-05,107522
2025-03-06,108632
2025-03-07,105401
2025-03-08,113034
2025-03-09,88142
2025-03-10,108228
2025-03-11,70254
2025-03-12,88780
2025-03-13,94989
2025-03-14,72295
2025-03-15,89013
2025-03-16,78880
2025-03-17,99016
2025-03-18,86176
2025-03-19,87578
2025-03-20,99962
2025-03-21,77561
2025-03-22,73848
2025-03-23,77475
2025-03-24,71991
2025-03-25,57606
2025-03-26,58796
2025-03-27,59421
2025-03-28,41987
2025-03-29,54755
2025-03-30,44392
2025-03-31,43060
2025-04-01,46941
2025-04-02,48899
2025-04-03,33497
2025-04-04,44893
2025-04-05,30199
2025-04-06,30972
2025-04-07,31571
2025-04-08,36606
2025-04-09,30237
2025-04-10,22823
2025-04-11,24976
2025-04-12,27824
2025-04-13,21095
2025-04-14,23693
2025-04-15,18084
2025-04-16,21537
2025-04-17,16222
2025-04-18,17863
2025-04-19,14616
2025-04-20,15781
2025-04-21,12063
2025-04-22,12214
2025-04-23,13272
2025-04-24,10939
2025-04-25,11291
2025-04-26,9392
2025-04-27,9600
2025-04-28,7721
2025-04-29,7152
2025-04-30,7441
2025-05-01,7510
2025-05-02,6978
2025-05-03,5820
2025-05-04,5514
2025-05-05,5602
2025-05-06,5856
2025-05-07,5188
2025-05-08,4109
2025-05-09,3772
2025-05-10,4038
2025-05-11,3694
2025-05-12,3411
2025-05-13,2602
2025-05-14,2773
2025-05-15,2484
2025-05-16,2558
2025-05-17,2477
2025-05-18,2253
2025-05-19,2104
2025-05-20,1709
2025-05-21,1693
2025-05-22,1346
2025-05-23,1340
2025-05-24,1674
2025-05-25,1238
2025-05-26,1226
2025-05-27,1166
2025-05-28,1217
2025-05-29,1011
2025-05-30,1059
2025-05-31,1012
